formula,cif_path,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,eform_eV_per_atom,eform_method,spg_number,spg_symbol,point_group,is_polar,in_top30,rank
CdPS3I,data/structures/CdPS3I/CdPS3I_3_e2.3669.cif,6,4.5129,5.8634,7.9962,83.1213,78.2633,66.9576,190.445,-0.698286,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,5
CdPS3I,data/structures/CdPS3I/rank12_CdPS3I_N6_Eform-0.69829.cif,6,4.5129,5.8634,7.9962,83.1213,78.2633,66.9576,190.445,-0.698286,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
CdPS3I,data/structures/CdPS3I/rank05_CdPS3I_N6_Eform-0.69829.cif,6,4.5129,5.8634,7.9962,83.1213,78.2633,66.9576,190.445,-0.698286,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_1_e2.6519.cif,6,4.8786,6.1851,7.7409,78.2448,71.6778,65.3724,200.848,-0.689732,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPS3I,data/structures/GaPS3I/rank13_GaPS3I_N6_Eform-0.68973.cif,6,4.8786,6.1851,7.7409,78.2448,71.6778,65.3724,200.848,-0.689732,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
SnPS3I,data/structures/SnPS3I/rank14_SnPS3I_N6_Eform-0.68247.cif,6,4.001,6.1243,7.77,93.7873,89.9754,89.3048,189.96,-0.682469,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
SnPS3I,data/structures/SnPS3I/rank06_SnPS3I_N6_Eform-0.68247.cif,6,4.001,6.1243,7.77,93.7873,89.9754,89.3048,189.96,-0.682469,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
SnPS3I,data/structures/SnPS3I/SnPS3I_3_e2.6937.cif,6,4.001,6.1243,7.77,93.7873,89.9754,89.3048,189.96,-0.682469,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,True,6
InPS3I,data/structures/InPS3I/InPS3I_1_e2.5983.cif,6,4.7694,6.5128,7.8804,71.6579,73.3743,68.3069,211.848,-0.68031,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,True,7
InPS3I,data/structures/InPS3I/rank07_InPS3I_N6_Eform-0.68031.cif,6,4.7694,6.5128,7.8804,71.6579,73.3743,68.3069,211.848,-0.68031,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
